Value, Time of DA (ns), Prime? (According to DA), Time of RA (ns), Prime? (According to RA)
10000000000001188,1400,NO,300,NO
10000000000001189,1600,NO,3600,NO
10000000000001190,1400,NO,200,NO
10000000000001191,2300,NO,3800,NO
10000000000001192,1400,NO,300,NO
10000000000001193,1400,NO,3700,NO
10000000000001194,1300,NO,200,NO
10000000000001195,1500,NO,3900,NO
10000000000001196,1400,NO,200,NO
10000000000001197,3200,NO,5100,NO
10000000000001198,1600,NO,300,NO
10000000000001199,1500,NO,3700,NO
10000000000001200,1500,NO,200,NO
10000000000001201,14900,NO,3700,NO
10000000000001202,2400,NO,500,NO
10000000000001203,6100,NO,4300,NO
10000000000001204,1600,NO,300,NO
10000000000001205,1500,NO,3900,NO
10000000000001206,1500,NO,300,NO
10000000000001207,1600,NO,3500,NO
10000000000001208,1500,NO,300,NO
10000000000001209,1600,NO,3700,NO
10000000000001210,1500,NO,300,NO
10000000000001211,1600,NO,3800,NO
10000000000001212,1500,NO,300,NO
10000000000001213,149184000,NO,18100,NO
10000000000001214,5300,NO,700,NO
10000000000001215,1900,NO,10500,NO
10000000000001216,2000,NO,300,NO
10000000000001217,1600,NO,5500,NO
10000000000001218,1600,NO,300,NO
10000000000001219,1700,NO,4300,NO
10000000000001220,1500,NO,300,NO
10000000000001221,1500,NO,4000,NO
10000000000001222,1500,NO,300,NO
10000000000001223,1500,NO,3800,NO
10000000000001224,1400,NO,200,NO
10000000000001225,1500,NO,4100,NO
10000000000001226,1400,NO,200,NO
10000000000001227,7885800,NO,12100,NO
10000000000001228,2900,NO,300,NO
10000000000001229,1500,NO,4400,NO
10000000000001230,1600,NO,300,NO
10000000000001231,1500,NO,4100,NO
10000000000001232,1300,NO,200,NO
10000000000001233,74800,NO,6100,NO
10000000000001234,1900,NO,300,NO
10000000000001235,1400,NO,4300,NO
10000000000001236,1300,NO,200,NO
10000000000001237,286600,NO,6600,NO
10000000000001238,2200,NO,200,NO
10000000000001239,1037329000,YES,122800,YES
10000000000001240,4200,NO,400,NO
10000000000001241,1700,NO,5400,NO
10000000000001242,1500,NO,300,NO
10000000000001243,54800,NO,4800,NO
10000000000001244,2000,NO,300,NO
10000000000001245,1700,NO,4600,NO
10000000000001246,1500,NO,300,NO
10000000000001247,1300,NO,4000,NO
10000000000001248,1400,NO,300,NO
10000000000001249,1500,NO,3700,NO
10000000000001250,1400,NO,300,NO
10000000000001251,1841200,NO,16500,NO
10000000000001252,3900,NO,800,NO
10000000000001253,2100,NO,6500,NO
10000000000001254,1700,NO,400,NO
10000000000001255,1700,NO,5100,NO
10000000000001256,1500,NO,300,NO
10000000000001257,1600,NO,4100,NO
10000000000001258,1400,NO,300,NO
10000000000001259,1400,NO,3900,NO
10000000000001260,1400,NO,300,NO
10000000000001261,1800,NO,4200,NO
10000000000001262,1300,NO,300,NO
10000000000001263,1500,NO,14500,NO
10000000000001264,1500,NO,300,NO
10000000000001265,1400,NO,3600,NO
10000000000001266,1400,NO,300,NO
10000000000001267,2300,NO,3700,NO
10000000000001268,1500,NO,300,NO
10000000000001269,1700,NO,4700,NO
10000000000001270,1400,NO,300,NO
10000000000001271,1400,NO,4300,NO
10000000000001272,1300,NO,200,NO
10000000000001273,423908700,NO,59600,NO
10000000000001274,5400,NO,600,NO
10000000000001275,2100,NO,17200,NO
10000000000001276,1800,NO,300,NO
10000000000001277,1600,NO,5000,NO
10000000000001278,1500,NO,400,NO
10000000000001279,2500,NO,4100,NO
10000000000001280,1500,NO,300,NO
10000000000001281,35929600,NO,27000,NO
10000000000001282,5900,NO,1000,NO
10000000000001283,2100,NO,6600,NO
10000000000001284,1900,NO,400,NO
10000000000001285,1600,NO,5500,NO
10000000000001286,1600,NO,400,NO
10000000000001287,5200,NO,5200,NO
10000000000001288,1500,NO,300,NO
10000000000001289,1400,NO,4200,NO
10000000000001290,1400,NO,300,NO
10000000000001291,1500,NO,4300,NO
10000000000001292,1300,NO,200,NO
10000000000001293,1563060200,YES,408300,YES
10000000000001294,7400,NO,1000,NO
10000000000001295,4900,NO,15800,NO
10000000000001296,2200,NO,400,NO
10000000000001297,2300,NO,62600,NO
10000000000001298,6700,NO,700,NO
10000000000001299,154700,NO,27200,NO
10000000000001300,4200,NO,500,NO
10000000000001301,5400,NO,28100,NO
10000000000001302,4000,NO,8400,NO
10000000000001303,8200,NO,24800,NO
10000000000001304,7500,NO,1000,NO
10000000000001305,5200,NO,25600,NO
10000000000001306,3000,NO,500,NO
10000000000001307,2100,NO,7600,NO
10000000000001308,3200,NO,500,NO
10000000000001309,7200,NO,9700,NO
10000000000001310,4000,NO,500,NO
10000000000001311,1278947100,YES,114700,YES
10000000000001312,4900,NO,700,NO
10000000000001313,1900,NO,4500,NO
10000000000001314,1500,NO,300,NO
10000000000001315,1600,NO,3200,NO
10000000000001316,1500,NO,300,NO
10000000000001317,3900,NO,2900,NO
10000000000001318,1400,NO,200,NO
10000000000001319,2000,NO,3900,NO
10000000000001320,1400,NO,200,NO
10000000000001321,1091025800,YES,63300,YES
10000000000001322,6700,NO,900,NO
10000000000001323,2000,NO,4700,NO
10000000000001324,1600,NO,300,NO
10000000000001325,1600,NO,3200,NO
10000000000001326,1600,NO,300,NO
10000000000001327,9453800,NO,11500,NO
10000000000001328,4000,NO,500,NO
10000000000001329,24600,NO,7900,NO
10000000000001330,36500,NO,5800,NO
10000000000001331,12900,NO,84000,NO
10000000000001332,5400,NO,700,NO
10000000000001333,5000,NO,7400,NO
10000000000001334,4900,NO,800,NO
10000000000001335,5300,NO,7900,NO
10000000000001336,4700,NO,700,NO
10000000000001337,3800,NO,6900,NO
10000000000001338,2900,NO,500,NO
10000000000001339,3700,NO,4800,NO
10000000000001340,12900,NO,400,NO
10000000000001341,800,NO,3900,NO
10000000000001342,400,NO,300,NO
10000000000001343,500,NO,3900,NO
10000000000001344,500,NO,200,NO
10000000000001345,500,NO,3100,NO
10000000000001346,900,NO,300,NO
10000000000001347,500,NO,3100,NO
10000000000001348,500,NO,300,NO
10000000000001349,500,NO,2600,NO
10000000000001350,400,NO,200,NO
10000000000001351,52300,NO,3200,NO
10000000000001352,600,NO,200,NO
10000000000001353,800,NO,3300,NO
10000000000001354,500,NO,200,NO
10000000000001355,500,NO,2900,NO
10000000000001356,400,NO,200,NO
10000000000001357,1400,NO,2500,NO
10000000000001358,500,NO,200,NO
10000000000001359,700,NO,2700,NO
10000000000001360,400,NO,300,NO
