Value, Time of DA (ns), Prime? (According to DA), Time of RA (ns), Prime? (According to RA)
10000000000069240,200,NO,0,NO
10000000000069241,286723000,NO,7100,NO
10000000000069242,1000,NO,100,NO
10000000000069243,45696000,NO,6600,NO
10000000000069244,800,NO,100,NO
10000000000069245,300,NO,3100,NO
10000000000069246,200,NO,100,NO
10000000000069247,400,NO,1900,NO
10000000000069248,300,NO,100,NO
10000000000069249,500,NO,1600,NO
10000000000069250,200,NO,100,NO
10000000000069251,300,NO,1600,NO
10000000000069252,200,NO,100,NO
10000000000069253,1900,NO,1500,NO
10000000000069254,200,NO,100,NO
10000000000069255,200,NO,1400,NO
10000000000069256,200,NO,100,NO
10000000000069257,300,NO,1900,NO
10000000000069258,200,NO,0,NO
10000000000069259,589200,NO,3100,NO
10000000000069260,200,NO,100,NO
10000000000069261,200,NO,1700,NO
10000000000069262,200,NO,0,NO
10000000000069263,200,NO,1600,NO
10000000000069264,100,NO,0,NO
10000000000069265,300,NO,1500,NO
10000000000069266,200,NO,0,NO
10000000000069267,1300,NO,1500,NO
10000000000069268,200,NO,100,NO
10000000000069269,300,NO,1400,NO
10000000000069270,100,NO,0,NO
10000000000069271,8300,NO,1500,NO
10000000000069272,200,NO,100,NO
10000000000069273,8900,NO,1500,NO
10000000000069274,200,NO,0,NO
10000000000069275,300,NO,1400,NO
10000000000069276,200,NO,0,NO
10000000000069277,400,NO,1500,NO
10000000000069278,200,NO,100,NO
10000000000069279,9700,NO,1500,NO
10000000000069280,200,NO,100,NO
10000000000069281,200,NO,1600,NO
10000000000069282,300,NO,0,NO
10000000000069283,1151660400,YES,44800,YES
10000000000069284,1000,NO,300,NO
10000000000069285,400,NO,2200,NO
10000000000069286,200,NO,100,NO
10000000000069287,200,NO,1900,NO
10000000000069288,200,NO,100,NO
10000000000069289,300,NO,1600,NO
10000000000069290,200,NO,100,NO
10000000000069291,400,NO,1600,NO
10000000000069292,100,NO,100,NO
10000000000069293,200,NO,1700,NO
10000000000069294,200,NO,0,NO
10000000000069295,300,NO,1500,NO
10000000000069296,200,NO,100,NO
10000000000069297,4800,NO,1600,NO
10000000000069298,200,NO,100,NO
10000000000069299,200,NO,1700,NO
10000000000069300,200,NO,0,NO
10000000000069301,800,NO,1500,NO
10000000000069302,200,NO,100,NO
10000000000069303,400,NO,1400,NO
10000000000069304,200,NO,0,NO
10000000000069305,200,NO,1500,NO
10000000000069306,100,NO,0,NO
10000000000069307,35017000,NO,6100,NO
10000000000069308,800,NO,100,NO
10000000000069309,1028800,NO,5300,NO
10000000000069310,600,NO,100,NO
10000000000069311,600,NO,3100,NO
10000000000069312,300,NO,100,NO
10000000000069313,500,NO,2100,NO
10000000000069314,200,NO,100,NO
10000000000069315,300,NO,1800,NO
10000000000069316,200,NO,100,NO
10000000000069317,200,NO,1700,NO
10000000000069318,200,NO,0,NO
10000000000069319,1900,NO,1600,NO
10000000000069320,200,NO,100,NO
10000000000069321,300,NO,1900,NO
10000000000069322,200,NO,100,NO
10000000000069323,200,NO,1600,NO
10000000000069324,200,NO,100,NO
10000000000069325,300,NO,1800,NO
10000000000069326,200,NO,100,NO
10000000000069327,400,NO,1600,NO
10000000000069328,200,NO,0,NO
10000000000069329,300,NO,1900,NO
10000000000069330,200,NO,100,NO
10000000000069331,200,NO,1600,NO
10000000000069332,200,NO,100,NO
10000000000069333,2161500,NO,3800,NO
10000000000069334,500,NO,0,NO
10000000000069335,200,NO,2000,NO
10000000000069336,200,NO,100,NO
10000000000069337,1000,NO,3100,NO
10000000000069338,300,NO,100,NO
10000000000069339,400,NO,2500,NO
10000000000069340,200,NO,100,NO
10000000000069341,200,NO,1700,NO
10000000000069342,200,NO,0,NO
10000000000069343,400,NO,1600,NO
10000000000069344,200,NO,100,NO
10000000000069345,200,NO,1800,NO
10000000000069346,200,NO,0,NO
10000000000069347,200,NO,1500,NO
10000000000069348,600,NO,100,NO
10000000000069349,1100,NO,2900,NO
10000000000069350,200,NO,0,NO
10000000000069351,17900,NO,2400,NO
10000000000069352,300,NO,100,NO
10000000000069353,300,NO,1900,NO
10000000000069354,200,NO,100,NO
10000000000069355,300,NO,1800,NO
10000000000069356,200,NO,100,NO
10000000000069357,1100,NO,1500,NO
10000000000069358,200,NO,100,NO
10000000000069359,300,NO,1600,NO
10000000000069360,200,NO,0,NO
10000000000069361,1071428300,YES,44400,YES
10000000000069362,1100,NO,100,NO
10000000000069363,2400,NO,2600,NO
10000000000069364,200,NO,100,NO
10000000000069365,200,NO,1700,NO
10000000000069366,200,NO,100,NO
10000000000069367,8600,NO,1900,NO
10000000000069368,200,NO,100,NO
10000000000069369,1127638600,YES,45000,YES
10000000000069370,1000,NO,100,NO
10000000000069371,300,NO,2200,NO
10000000000069372,200,NO,100,NO
10000000000069373,300,NO,1700,NO
10000000000069374,200,NO,0,NO
10000000000069375,300,NO,1700,NO
10000000000069376,200,NO,0,NO
10000000000069377,300,NO,1600,NO
10000000000069378,200,NO,100,NO
10000000000069379,316600,NO,2300,NO
10000000000069380,300,NO,100,NO
10000000000069381,600,NO,1700,NO
10000000000069382,200,NO,0,NO
10000000000069383,300,NO,1600,NO
10000000000069384,200,NO,100,NO
10000000000069385,300,NO,1500,NO
10000000000069386,200,NO,100,NO
10000000000069387,300,NO,1500,NO
10000000000069388,200,NO,100,NO
10000000000069389,300,NO,1500,NO
10000000000069390,200,NO,100,NO
10000000000069391,400,NO,1500,NO
10000000000069392,200,NO,100,NO
10000000000069393,400,NO,1800,NO
10000000000069394,200,NO,0,NO
10000000000069395,300,NO,1500,NO
10000000000069396,200,NO,100,NO
10000000000069397,7819200,NO,4000,NO
10000000000069398,400,NO,100,NO
10000000000069399,700,NO,2100,NO
10000000000069400,200,NO,100,NO
10000000000069401,300,NO,1600,NO
10000000000069402,200,NO,100,NO
10000000000069403,400,NO,1800,NO
10000000000069404,200,NO,100,NO
10000000000069405,200,NO,1500,NO
10000000000069406,200,NO,100,NO
10000000000069407,200,NO,1600,NO
10000000000069408,200,NO,100,NO
10000000000069409,400,NO,1600,NO
10000000000069410,200,NO,0,NO
10000000000069411,1044656100,YES,44400,YES
10000000000069412,700,NO,100,NO
10000000000069413,500,NO,2200,NO
10000000000069414,200,NO,100,NO
10000000000069415,200,NO,1700,NO
10000000000069416,200,NO,0,NO
10000000000069417,400,NO,1700,NO
10000000000069418,200,NO,100,NO
10000000000069419,300,NO,1900,NO
10000000000069420,100,NO,0,NO
10000000000069421,42685800,NO,6300,NO
10000000000069422,900,NO,100,NO
10000000000069423,1600,NO,3000,NO
10000000000069424,200,NO,100,NO
10000000000069425,300,NO,1800,NO
10000000000069426,200,NO,0,NO
10000000000069427,500,NO,1700,NO
10000000000069428,100,NO,0,NO
10000000000069429,300,NO,1500,NO
10000000000069430,200,NO,0,NO
10000000000069431,300,NO,1500,NO
10000000000069432,200,NO,0,NO
10000000000069433,500,NO,1600,NO
10000000000069434,200,NO,0,NO
10000000000069435,200,NO,1400,NO
10000000000069436,100,NO,0,NO
10000000000069437,200,NO,1500,NO
10000000000069438,200,NO,100,NO
10000000000069439,700,NO,1500,NO
10000000000069440,200,NO,0,NO
10000000000069441,700,NO,1500,NO
10000000000069442,200,NO,100,NO
10000000000069443,200,NO,1500,NO
10000000000069444,200,NO,100,NO
10000000000069445,300,NO,1500,NO
10000000000069446,200,NO,0,NO
10000000000069447,27479200,NO,5600,NO
10000000000069448,800,NO,100,NO
10000000000069449,300,NO,3000,NO
10000000000069450,200,NO,0,NO
10000000000069451,3500,NO,1900,NO
10000000000069452,200,NO,0,NO
10000000000069453,300,NO,1600,NO
10000000000069454,200,NO,100,NO
10000000000069455,200,NO,1800,NO
10000000000069456,200,NO,0,NO
10000000000069457,300,NO,1800,NO
10000000000069458,200,NO,100,NO
10000000000069459,602793500,NO,6900,NO
10000000000069460,600,NO,100,NO
10000000000069461,400,NO,3000,NO
10000000000069462,200,NO,100,NO
10000000000069463,1167868700,YES,45000,YES
10000000000069464,1300,NO,100,NO
10000000000069465,300,NO,2600,NO
10000000000069466,200,NO,100,NO
10000000000069467,200,NO,2000,NO
10000000000069468,200,NO,100,NO
10000000000069469,400,NO,1600,NO
10000000000069470,300,NO,0,NO
10000000000069471,300,NO,1600,NO
10000000000069472,200,NO,0,NO
10000000000069473,200,NO,1500,NO
10000000000069474,200,NO,0,NO
10000000000069475,300,NO,1500,NO
10000000000069476,200,NO,100,NO
10000000000069477,4800,NO,1500,NO
10000000000069478,100,NO,0,NO
10000000000069479,200,NO,1500,NO
10000000000069480,200,NO,100,NO
10000000000069481,1200,NO,1400,NO
10000000000069482,200,NO,0,NO
10000000000069483,1117033300,YES,44000,YES
10000000000069484,800,NO,100,NO
10000000000069485,400,NO,2400,NO
10000000000069486,200,NO,0,NO
10000000000069487,1200,NO,1800,NO
10000000000069488,200,NO,0,NO
10000000000069489,800,NO,1600,NO
10000000000069490,200,NO,0,NO
10000000000069491,300,NO,1700,NO
10000000000069492,200,NO,0,NO
10000000000069493,1066290900,YES,45200,YES
10000000000069494,700,NO,100,NO
10000000000069495,400,NO,2300,NO
10000000000069496,200,NO,100,NO
10000000000069497,200,NO,1600,NO
10000000000069498,300,NO,100,NO
10000000000069499,300,NO,1800,NO
10000000000069500,300,NO,0,NO
10000000000069501,12700100,NO,7500,NO
10000000000069502,1100,NO,100,NO
10000000000069503,300,NO,2500,NO
10000000000069504,300,NO,0,NO
10000000000069505,300,NO,1600,NO
10000000000069506,200,NO,0,NO
10000000000069507,1100,NO,1500,NO
10000000000069508,300,NO,0,NO
10000000000069509,300,NO,1600,NO
10000000000069510,200,NO,0,NO
10000000000069511,3400,NO,1500,NO
10000000000069512,300,NO,0,NO
10000000000069513,400,NO,1500,NO
10000000000069514,200,NO,100,NO
10000000000069515,200,NO,1500,NO
10000000000069516,200,NO,100,NO
10000000000069517,500,NO,1500,NO
10000000000069518,200,NO,100,NO
10000000000069519,400,NO,1500,NO
10000000000069520,200,NO,0,NO
10000000000069521,300,NO,1400,NO
10000000000069522,200,NO,100,NO
10000000000069523,700,NO,1500,NO
10000000000069524,200,NO,100,NO
10000000000069525,200,NO,1500,NO
10000000000069526,200,NO,100,NO
10000000000069527,200,NO,1400,NO
10000000000069528,100,NO,0,NO
10000000000069529,300,NO,1500,NO
10000000000069530,200,NO,100,NO
10000000000069531,1300,NO,1500,NO
10000000000069532,200,NO,100,NO
10000000000069533,200,NO,1500,NO
10000000000069534,200,NO,100,NO
10000000000069535,300,NO,1500,NO
10000000000069536,200,NO,0,NO
10000000000069537,1300,NO,1600,NO
10000000000069538,200,NO,0,NO
10000000000069539,200,NO,1500,NO
10000000000069540,200,NO,100,NO
10000000000069541,400,NO,1600,NO
10000000000069542,200,NO,100,NO
10000000000069543,700,NO,2600,NO
10000000000069544,100,NO,100,NO
10000000000069545,200,NO,1500,NO
10000000000069546,200,NO,100,NO
10000000000069547,400,NO,1600,NO
10000000000069548,200,NO,0,NO
10000000000069549,10000,NO,1500,NO
10000000000069550,200,NO,0,NO
10000000000069551,300,NO,1500,NO
10000000000069552,100,NO,0,NO
10000000000069553,243100,NO,2300,NO
10000000000069554,200,NO,100,NO
10000000000069555,200,NO,1700,NO
10000000000069556,100,NO,100,NO
10000000000069557,200,NO,1800,NO
10000000000069558,200,NO,0,NO
10000000000069559,23500,NO,2100,NO
10000000000069560,200,NO,0,NO
10000000000069561,1052547600,YES,42000,YES
10000000000069562,1000,NO,100,NO
10000000000069563,300,NO,2300,NO
10000000000069564,200,NO,100,NO
10000000000069565,300,NO,1800,NO
10000000000069566,200,NO,0,NO
10000000000069567,700,NO,1500,NO
10000000000069568,200,NO,100,NO
10000000000069569,200,NO,1700,NO
10000000000069570,200,NO,100,NO
10000000000069571,600,NO,1500,NO
10000000000069572,200,NO,0,NO
10000000000069573,400,NO,1600,NO
10000000000069574,200,NO,100,NO
10000000000069575,200,NO,1600,NO
10000000000069576,200,NO,100,NO
10000000000069577,24700,NO,1600,NO
10000000000069578,200,NO,100,NO
10000000000069579,1041446300,YES,43400,YES
10000000000069580,900,NO,100,NO
10000000000069581,300,NO,2500,NO
10000000000069582,800,NO,200,NO
10000000000069583,500,NO,3400,NO
10000000000069584,200,NO,100,NO
10000000000069585,300,NO,2100,NO
10000000000069586,200,NO,100,NO
10000000000069587,300,NO,2100,NO
10000000000069588,200,NO,100,NO
10000000000069589,900,NO,1600,NO
10000000000069590,200,NO,100,NO
10000000000069591,1061055500,YES,49400,YES
10000000000069592,800,NO,200,NO
10000000000069593,300,NO,2800,NO
10000000000069594,200,NO,100,NO
10000000000069595,300,NO,1700,NO
10000000000069596,100,NO,100,NO
10000000000069597,300,NO,1600,NO
10000000000069598,200,NO,100,NO
10000000000069599,200,NO,1800,NO
10000000000069600,1100,NO,200,NO
10000000000069601,1700,NO,3400,NO
10000000000069602,200,NO,100,NO
10000000000069603,1094981900,YES,44200,YES
10000000000069604,900,NO,200,NO
10000000000069605,1300,NO,3300,NO
10000000000069606,400,NO,100,NO
10000000000069607,400,NO,2900,NO
10000000000069608,200,NO,100,NO
10000000000069609,1089565300,YES,42300,YES
10000000000069610,700,NO,200,NO
10000000000069611,400,NO,3900,NO
10000000000069612,500,NO,200,NO
10000000000069613,700,NO,3100,NO
10000000000069614,300,NO,100,NO
10000000000069615,300,NO,1900,NO
10000000000069616,200,NO,0,NO
10000000000069617,300,NO,1600,NO
10000000000069618,200,NO,0,NO
10000000000069619,1800,NO,1500,NO
10000000000069620,500,NO,200,NO
10000000000069621,9655100,NO,6500,NO
10000000000069622,700,NO,100,NO
10000000000069623,400,NO,2900,NO
10000000000069624,200,NO,0,NO
10000000000069625,400,NO,1700,NO
10000000000069626,200,NO,0,NO
10000000000069627,23989700,NO,7400,NO
10000000000069628,600,NO,100,NO
10000000000069629,300,NO,2700,NO
10000000000069630,200,NO,100,NO
10000000000069631,500,NO,2100,NO
10000000000069632,100,NO,0,NO
10000000000069633,143900,NO,2500,NO
10000000000069634,200,NO,0,NO
10000000000069635,200,NO,1900,NO
10000000000069636,200,NO,0,NO
10000000000069637,1800,NO,1600,NO
10000000000069638,200,NO,100,NO
10000000000069639,300,NO,1600,NO
10000000000069640,200,NO,100,NO
10000000000069641,300,NO,1500,NO
10000000000069642,200,NO,0,NO
10000000000069643,1700,NO,1500,NO
10000000000069644,100,NO,0,NO
10000000000069645,300,NO,1700,NO
10000000000069646,200,NO,100,NO
10000000000069647,200,NO,1500,NO
10000000000069648,200,NO,100,NO
10000000000069649,700,NO,1500,NO
10000000000069650,200,NO,100,NO
10000000000069651,400,NO,1600,NO
10000000000069652,200,NO,0,NO
10000000000069653,200,NO,1600,NO
10000000000069654,200,NO,100,NO
10000000000069655,300,NO,1500,NO
10000000000069656,100,NO,0,NO
10000000000069657,1412700,NO,2400,NO
10000000000069658,200,NO,100,NO
10000000000069659,300,NO,1800,NO
10000000000069660,200,NO,0,NO
10000000000069661,700,NO,1500,NO
10000000000069662,200,NO,0,NO
10000000000069663,500,NO,1800,NO
10000000000069664,200,NO,0,NO
10000000000069665,200,NO,1500,NO
10000000000069666,200,NO,100,NO
10000000000069667,300,NO,1500,NO
10000000000069668,200,NO,0,NO
10000000000069669,800,NO,1600,NO
10000000000069670,200,NO,0,NO
10000000000069671,300,NO,1500,NO
10000000000069672,200,NO,100,NO
10000000000069673,300,NO,1500,NO
10000000000069674,200,NO,0,NO
10000000000069675,300,NO,1400,NO
10000000000069676,200,NO,0,NO
10000000000069677,300,NO,1400,NO
10000000000069678,200,NO,100,NO
10000000000069679,2600,NO,1700,NO
10000000000069680,200,NO,100,NO
10000000000069681,300,NO,1400,NO
10000000000069682,200,NO,100,NO
10000000000069683,300,NO,1400,NO
10000000000069684,200,NO,0,NO
10000000000069685,200,NO,1500,NO
10000000000069686,200,NO,0,NO
10000000000069687,1086735000,YES,42700,YES
10000000000069688,900,NO,100,NO
10000000000069689,300,NO,2900,NO
10000000000069690,300,NO,100,NO
10000000000069691,1282545400,YES,45600,YES
10000000000069692,1200,NO,100,NO
10000000000069693,1141242700,YES,46400,YES
10000000000069694,1000,NO,100,NO
10000000000069695,1900,NO,5600,NO
10000000000069696,1100,NO,200,NO
10000000000069697,15300,NO,12800,NO
10000000000069698,1000,NO,200,NO
10000000000069699,1900,NO,5300,NO
10000000000069700,1300,NO,200,NO
10000000000069701,7900,NO,4400,NO
10000000000069702,900,NO,100,NO
10000000000069703,2100,NO,6100,NO
10000000000069704,8500,NO,200,NO
10000000000069705,1700,NO,4200,NO
10000000000069706,500,NO,200,NO
10000000000069707,400,NO,3200,NO
10000000000069708,200,NO,100,NO
10000000000069709,300,NO,1900,NO
10000000000069710,100,NO,100,NO
10000000000069711,900,NO,1800,NO
10000000000069712,300,NO,0,NO
10000000000069713,300,NO,1800,NO
10000000000069714,300,NO,100,NO
10000000000069715,300,NO,1700,NO
10000000000069716,400,NO,100,NO
10000000000069717,400,NO,2100,NO
10000000000069718,200,NO,100,NO
10000000000069719,400,NO,2400,NO
10000000000069720,1600,NO,200,NO
10000000000069721,2800,NO,4100,NO
10000000000069722,300,NO,100,NO
10000000000069723,300,NO,2200,NO
10000000000069724,100,NO,0,NO
10000000000069725,300,NO,1700,NO
10000000000069726,1500,NO,200,NO
10000000000069727,2900,NO,3400,NO
10000000000069728,200,NO,100,NO
10000000000069729,400,NO,2100,NO
10000000000069730,100,NO,0,NO
10000000000069731,400,NO,2700,NO
10000000000069732,200,NO,0,NO
10000000000069733,500,NO,2300,NO
10000000000069734,300,NO,0,NO
10000000000069735,400,NO,2100,NO
10000000000069736,500,NO,0,NO
10000000000069737,400,NO,1900,NO
10000000000069738,200,NO,0,NO
10000000000069739,400,NO,1700,NO
10000000000069740,200,NO,100,NO
10000000000069741,2800,NO,1900,NO
10000000000069742,200,NO,100,NO
10000000000069743,200,NO,31900,NO
10000000000069744,500,NO,100,NO
10000000000069745,400,NO,2500,NO
10000000000069746,300,NO,100,NO
10000000000069747,2100,NO,1900,NO
10000000000069748,500,NO,100,NO
10000000000069749,600,NO,2400,NO
10000000000069750,400,NO,100,NO
10000000000069751,500,NO,2400,NO
10000000000069752,200,NO,0,NO
10000000000069753,72500,NO,3600,NO
10000000000069754,600,NO,100,NO
10000000000069755,500,NO,2900,NO
10000000000069756,300,NO,100,NO
10000000000069757,184225100,NO,7700,NO
10000000000069758,500,NO,100,NO
10000000000069759,1171492500,YES,44500,YES
10000000000069760,1000,NO,100,NO
10000000000069761,400,NO,2100,NO
10000000000069762,300,NO,100,NO
10000000000069763,2500,NO,1900,NO
10000000000069764,200,NO,0,NO
10000000000069765,200,NO,1600,NO
10000000000069766,200,NO,100,NO
10000000000069767,300,NO,1500,NO
10000000000069768,200,NO,100,NO
10000000000069769,1201360300,YES,44300,YES
10000000000069770,1000,NO,200,NO
10000000000069771,700,NO,2400,NO
10000000000069772,200,NO,100,NO
10000000000069773,200,NO,1800,NO
10000000000069774,200,NO,100,NO
10000000000069775,300,NO,1600,NO
10000000000069776,200,NO,0,NO
10000000000069777,601800,NO,2600,NO
10000000000069778,300,NO,100,NO
10000000000069779,200,NO,1800,NO
10000000000069780,200,NO,100,NO
10000000000069781,300,NO,1500,NO
10000000000069782,200,NO,0,NO
10000000000069783,300,NO,1600,NO
10000000000069784,200,NO,0,NO
10000000000069785,300,NO,1500,NO
10000000000069786,200,NO,0,NO
10000000000069787,700,NO,1600,NO
10000000000069788,200,NO,0,NO
10000000000069789,2800,NO,1400,NO
10000000000069790,300,NO,0,NO
10000000000069791,200,NO,1400,NO
10000000000069792,200,NO,0,NO
10000000000069793,300,NO,1500,NO
10000000000069794,200,NO,0,NO
10000000000069795,200,NO,1400,NO
10000000000069796,200,NO,0,NO
10000000000069797,200,NO,1500,NO
10000000000069798,200,NO,100,NO
10000000000069799,225700,NO,2100,NO
10000000000069800,200,NO,100,NO
10000000000069801,400,NO,1700,NO
10000000000069802,200,NO,0,NO
10000000000069803,200,NO,1600,NO
10000000000069804,200,NO,0,NO
10000000000069805,300,NO,1500,NO
10000000000069806,200,NO,0,NO
10000000000069807,300,NO,1500,NO
10000000000069808,200,NO,0,NO
10000000000069809,200,NO,1600,NO
10000000000069810,200,NO,0,NO
10000000000069811,2800,NO,1500,NO
10000000000069812,200,NO,0,NO
10000000000069813,700,NO,1600,NO
10000000000069814,200,NO,100,NO
10000000000069815,300,NO,1500,NO
10000000000069816,100,NO,0,NO
10000000000069817,2618800,NO,2400,NO
10000000000069818,300,NO,100,NO
10000000000069819,1072419500,YES,44800,YES
10000000000069820,600,NO,100,NO
10000000000069821,400,NO,2300,NO
10000000000069822,200,NO,100,NO
10000000000069823,28322900,NO,5500,NO
10000000000069824,1500,NO,100,NO
10000000000069825,300,NO,2800,NO
10000000000069826,200,NO,100,NO
10000000000069827,300,NO,1800,NO
10000000000069828,200,NO,100,NO
10000000000069829,758500,NO,3200,NO
10000000000069830,200,NO,100,NO
10000000000069831,4759600,NO,3700,NO
10000000000069832,400,NO,100,NO
10000000000069833,200,NO,1900,NO
10000000000069834,200,NO,100,NO
10000000000069835,200,NO,1500,NO
10000000000069836,100,NO,0,NO
10000000000069837,2900,NO,1800,NO
10000000000069838,100,NO,0,NO
10000000000069839,300,NO,1500,NO
10000000000069840,1300,NO,100,NO
10000000000069841,1600,NO,3400,NO
10000000000069842,300,NO,0,NO
10000000000069843,1069437600,YES,45900,YES
10000000000069844,900,NO,100,NO
10000000000069845,300,NO,2300,NO
10000000000069846,200,NO,100,NO
10000000000069847,600,NO,1700,NO
10000000000069848,300,NO,100,NO
10000000000069849,300,NO,1500,NO
10000000000069850,200,NO,100,NO
10000000000069851,200,NO,1900,NO
10000000000069852,200,NO,100,NO
10000000000069853,1063764600,YES,44900,YES
10000000000069854,1000,NO,100,NO
10000000000069855,400,NO,2300,NO
10000000000069856,200,NO,100,NO
10000000000069857,300,NO,1700,NO
10000000000069858,200,NO,0,NO
10000000000069859,400,NO,1600,NO
10000000000069860,200,NO,0,NO
10000000000069861,900,NO,1600,NO
10000000000069862,100,NO,0,NO
10000000000069863,200,NO,1600,NO
10000000000069864,200,NO,100,NO
10000000000069865,200,NO,1400,NO
10000000000069866,200,NO,0,NO
10000000000069867,800,NO,1500,NO
10000000000069868,200,NO,100,NO
10000000000069869,200,NO,1500,NO
10000000000069870,200,NO,0,NO
10000000000069871,400,NO,1500,NO
10000000000069872,200,NO,100,NO
10000000000069873,541436000,NO,8000,NO
10000000000069874,800,NO,200,NO
10000000000069875,300,NO,2800,NO
10000000000069876,300,NO,100,NO
10000000000069877,400,NO,1900,NO
10000000000069878,200,NO,100,NO
10000000000069879,3100,NO,1600,NO
10000000000069880,100,NO,0,NO
10000000000069881,300,NO,1700,NO
10000000000069882,200,NO,100,NO
10000000000069883,700,NO,1600,NO
10000000000069884,200,NO,100,NO
10000000000069885,200,NO,1500,NO
10000000000069886,200,NO,0,NO
10000000000069887,200,NO,1500,NO
10000000000069888,200,NO,100,NO
10000000000069889,112100,NO,2100,NO
10000000000069890,200,NO,100,NO
10000000000069891,300,NO,1600,NO
10000000000069892,200,NO,0,NO
10000000000069893,200,NO,1500,NO
10000000000069894,100,NO,100,NO
10000000000069895,300,NO,1700,NO
10000000000069896,100,NO,100,NO
10000000000069897,400,NO,1700,NO
10000000000069898,200,NO,100,NO
10000000000069899,200,NO,1600,NO
10000000000069900,200,NO,100,NO
10000000000069901,4131000,NO,3800,NO
10000000000069902,300,NO,0,NO
10000000000069903,400,NO,2000,NO
10000000000069904,200,NO,100,NO
10000000000069905,200,NO,1700,NO
10000000000069906,100,NO,0,NO
10000000000069907,29900,NO,1800,NO
10000000000069908,200,NO,0,NO
10000000000069909,1200,NO,1700,NO
10000000000069910,200,NO,0,NO
10000000000069911,300,NO,1500,NO
10000000000069912,200,NO,0,NO
10000000000069913,1048315200,YES,43900,YES
10000000000069914,700,NO,100,NO
10000000000069915,500,NO,2400,NO
10000000000069916,200,NO,100,NO
10000000000069917,200,NO,1900,NO
10000000000069918,100,NO,100,NO
10000000000069919,300,NO,1600,NO
10000000000069920,200,NO,100,NO
10000000000069921,98600,NO,1700,NO
10000000000069922,200,NO,100,NO
10000000000069923,200,NO,1600,NO
10000000000069924,200,NO,100,NO
10000000000069925,300,NO,1600,NO
10000000000069926,200,NO,100,NO
10000000000069927,1800,NO,1700,NO
10000000000069928,200,NO,100,NO
10000000000069929,200,NO,1800,NO
10000000000069930,100,NO,0,NO
10000000000069931,1055132300,YES,76000,YES
10000000000069932,1400,NO,200,NO
10000000000069933,1100,NO,4800,NO
10000000000069934,800,NO,200,NO
10000000000069935,800,NO,3900,NO
10000000000069936,700,NO,100,NO
10000000000069937,1000,NO,3600,NO
10000000000069938,6400,NO,200,NO
10000000000069939,1200,NO,3400,NO
10000000000069940,600,NO,100,NO
10000000000069941,700,NO,3400,NO
10000000000069942,600,NO,100,NO
10000000000069943,113500,NO,3400,NO
10000000000069944,700,NO,100,NO
10000000000069945,800,NO,3700,NO
10000000000069946,600,NO,100,NO
10000000000069947,700,NO,9100,NO
10000000000069948,600,NO,100,NO
10000000000069949,3700,NO,3500,NO
10000000000069950,600,NO,100,NO
10000000000069951,949907900,NO,6400,NO
10000000000069952,700,NO,100,NO
10000000000069953,500,NO,3300,NO
10000000000069954,300,NO,100,NO
10000000000069955,300,NO,2300,NO
10000000000069956,200,NO,100,NO
10000000000069957,600,NO,1800,NO
10000000000069958,100,NO,0,NO
10000000000069959,200,NO,1800,NO
10000000000069960,100,NO,0,NO
10000000000069961,300,NO,1500,NO
10000000000069962,200,NO,100,NO
10000000000069963,300,NO,1500,NO
10000000000069964,100,NO,100,NO
10000000000069965,300,NO,1600,NO
10000000000069966,200,NO,0,NO
10000000000069967,800,NO,1600,NO
10000000000069968,200,NO,100,NO
10000000000069969,1700,NO,1500,NO
10000000000069970,200,NO,100,NO
10000000000069971,300,NO,1500,NO
10000000000069972,200,NO,100,NO
10000000000069973,400,NO,1500,NO
10000000000069974,200,NO,0,NO
10000000000069975,200,NO,1400,NO
10000000000069976,200,NO,100,NO
10000000000069977,200,NO,1600,NO
10000000000069978,200,NO,0,NO
10000000000069979,34300,NO,1700,NO
10000000000069980,200,NO,100,NO
10000000000069981,300,NO,1600,NO
10000000000069982,100,NO,100,NO
10000000000069983,200,NO,1700,NO
10000000000069984,200,NO,100,NO
10000000000069985,200,NO,1500,NO
10000000000069986,200,NO,0,NO
10000000000069987,6400,NO,1600,NO
10000000000069988,200,NO,0,NO
10000000000069989,200,NO,1500,NO
10000000000069990,200,NO,0,NO
10000000000069991,900,NO,1400,NO
10000000000069992,100,NO,0,NO
10000000000069993,3100,NO,1600,NO
10000000000069994,200,NO,100,NO
10000000000069995,200,NO,1600,NO
10000000000069996,200,NO,100,NO
10000000000069997,1142879600,YES,45600,YES
10000000000069998,800,NO,200,NO
10000000000069999,1071691900,YES,44300,YES
10000000000070000,1000,NO,100,NO
10000000000070001,300,NO,3000,NO
10000000000070002,100,NO,0,NO
10000000000070003,300,NO,1700,NO
10000000000070004,200,NO,0,NO
10000000000070005,300,NO,1700,NO
10000000000070006,200,NO,100,NO
10000000000070007,200,NO,1500,NO
10000000000070008,100,NO,0,NO
10000000000070009,1003200,NO,2700,NO
10000000000070010,500,NO,100,NO
10000000000070011,400,NO,1800,NO
10000000000070012,100,NO,0,NO
10000000000070013,200,NO,1500,NO
10000000000070014,100,NO,0,NO
10000000000070015,300,NO,1500,NO
10000000000070016,100,NO,0,NO
10000000000070017,300,NO,1500,NO
10000000000070018,500,NO,200,NO
10000000000070019,300,NO,3000,NO
10000000000070020,400,NO,100,NO
10000000000070021,1200,NO,2500,NO
10000000000070022,200,NO,100,NO
10000000000070023,264700,NO,2300,NO
10000000000070024,200,NO,100,NO
